deviceId,deviceName,startTime,endTime,taskType,durationSeconds,actualCleaningAreaSquareMeter,plannedCleaningAreaSquareMeter,waterConsumptionLiter,batteryConsumption,taskEndStatus
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-06T01:36:37.000Z,2025-10-06T01:51:57.000Z,2층전체청소하기: F2,46,9.81250029243529,3743.7226115716253,1.2903810000000249,1,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-06T01:53:27.000Z,2025-10-06T03:31:22.000Z,Total: B1-EAST,5490,1818.9550542090838,1980.4775590228292,229.82354100000003,29,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-06T22:07:40.000Z,2025-10-07T01:58:06.000Z,2층전체청소하기: F2,13169,3589.8126069847503,3788.90011291802,490.149058,65,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-06T22:10:31.000Z,2025-10-07T03:34:11.000Z,3층전체청소하기: F3,18421,3474.1951035390803,3790.7626129735268,509.38934800000266,86,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-06T23:50:01.000Z,2025-10-07T09:00:03.000Z,1: B2,10271,2188.3425652176898,3149.3725938586153,229.971232,15,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-07T02:01:52.000Z,2025-10-07T04:09:04.000Z,B1층식당가전체: B1_WEST,5219,1309.2725390193614,1392.1100414881114,187.3450139999997,18,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-07T22:10:06.000Z,2025-10-08T02:37:55.000Z,3층전체청소하기: F3,15349,3549.6301057872183,3790.535112966747,515.809848,80,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-07T22:15:10.000Z,2025-10-08T02:01:12.000Z,2층전체청소하기: F2,12897,3592.0951070527744,3789.4001129329213,488.317377,63,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-07T23:50:07.000Z,2025-10-08T09:00:03.000Z,2: B2,4344,911.667527169809,2236.352566648499,93.25830499999995,0,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-08T02:17:10.000Z,2025-10-08T21:54:38.000Z,B1층식당가전체: B1_WEST,4829,1311.692539091483,1393.1675415196273,171.14860299999992,-64,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-08T21:58:56.000Z,2025-10-09T01:27:33.000Z,2층전체청소하기: F2,11990,3317.65259887375,3784.555112788529,439.802432,57,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-08T22:02:21.000Z,2025-10-09T02:18:27.000Z,3층전체청소하기: F3,14576,3477.1176036261777,3787.192612867133,497.845276,77,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-08T23:50:08.000Z,2025-10-09T06:37:27.000Z,3: B2,12252,2488.9500741764905,2625.9050782580675,235.89003100000014,59,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-09T01:50:45.000Z,2025-10-09T03:15:14.000Z,B1층식당가전체: B1_WEST,4750,1315.1900391957165,1393.402541526631,177.743006,24,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-09T02:29:47.000Z,2025-10-09T03:08:02.000Z,3번노드: B1_EAST,2241,649.5975193595143,679.1700202408434,87.40350799999993,8,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-09T22:04:30.000Z,2025-10-10T01:54:34.000Z,2층전체청소하기: F2,13166,3591.152607024685,3788.2601128989463,490.859406,60,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-09T22:07:27.000Z,2025-10-10T04:27:02.000Z,3층전체청소하기: F3,16301,3399.072601300255,3788.5476129075146,580.4931589999986,94,1
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-09T23:50:09.000Z,2025-10-10T07:56:24.000Z,4: B2,12827,2599.1225774598875,2776.0250827319924,249.079819,55,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-10T02:14:26.000Z,2025-10-10T03:36:28.000Z,B1층식당가전체: B1_WEST,4612,1317.9250392772262,1391.782541478351,170.70707100000004,23,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-10T22:01:45.000Z,2025-10-11T01:47:38.000Z,2층전체청소하기: F2,12874,3589.66260698028,3787.847612886653,490.035146,59,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-10T22:04:51.000Z,2025-10-11T01:26:49.000Z,3층전체청소하기: F3,11108,2643.545078783781,3776.7001125544316,389.1145239999996,59,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-10T23:50:08.000Z,2025-10-11T09:00:04.000Z,5: B2,7084,1637.785048809797,3210.602595683411,164.53735800000004,12,2
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-11T01:33:06.000Z,2025-10-11T03:15:53.000Z,2번노드: F3,4485,875.4325260899218,946.6400282120707,134.87717500000014,24,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-11T01:58:17.000Z,2025-10-11T22:03:15.000Z,B1층식당가전체: B1_WEST,5300,1185.805035339743,1388.47504137978,181.14414499999998,-60,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-11T22:06:41.000Z,2025-10-12T01:58:31.000Z,2층전체청소하기: F2,13229,3595.9326071671408,3790.5651129676407,497.408638,61,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-11T23:50:07.000Z,2025-10-12T09:00:04.000Z,1: B2,7694,1661.5775495188689,3099.885092383773,172.28306800000001,3,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-12T02:06:15.000Z,2025-10-12T22:05:11.000Z,B1층식당가전체: B1_WEST,5468,1319.1300393131378,1393.0525415161999,182.81253900000016,-63,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-12T02:39:30.000Z,2025-10-12T03:17:19.000Z,3번노드: B1_EAST,2222,649.1400193458798,678.6650202257932,87.51676900000001,12,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-12T22:07:29.000Z,2025-10-13T02:00:39.000Z,2층전체청소하기: F2,13243,3600.075107290597,3789.625112939627,497.327898,61,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-12T22:26:17.000Z,2025-10-12T23:41:16.000Z,3층전체청소하기: F3,0,0,3742.4526115337767,2.979343,2,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-12T23:42:38.000Z,2025-10-13T13:28:17.000Z,3층전체청소하기: F3,0,0,3742.4526115337767,1.049993,-4,1
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-12T23:50:08.000Z,2025-10-13T09:00:06.000Z,5: B2,2419,462.45251378215863,3137.0350934909284,48.387266999999994,0,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-13T02:10:04.000Z,2025-10-13T03:35:24.000Z,B1층식당가전체: B1_WEST,4742,1290.2750384531919,1394.36754155539,174.74,22,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-13T13:42:24.000Z,2025-10-13T13:43:53.000Z,execute_task_테스트: 테스트,61,13.522500403001908,87.67000261276962,1.180885,1,1
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-13T13:45:50.000Z,2025-10-13T13:47:08.000Z,복귀: B2,0,0,0,0,0,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-13T21:58:34.000Z,2025-10-13T23:15:30.000Z,3층전체청소하기: F3,2909,653.372519472018,3753.0976118510225,87.187549,16,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-13T22:03:02.000Z,2025-10-14T21:52:31.000Z,2층전체청소하기: F2,15263,3605.5801074546584,3789.1701129260664,562.5658799999994,0,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-13T23:21:09.000Z,2025-10-14T03:37:44.000Z,3층전체청소하기: F3,14605,3484.572603848354,3803.622613356785,503.5626909999999,68,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-13T23:50:08.000Z,2025-10-14T09:00:10.000Z,1: B2,5586,1212.1850361259285,3073.1025915855926,131.57488200000003,2,2
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-14T21:56:37.000Z,2025-10-15T02:11:51.000Z,3층전체청소하기: F3,14334,3457.7276030483104,3786.3976128434397,511.968529,74,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-14T22:02:28.000Z,2025-10-15T01:48:18.000Z,2층전체청소하기: F2,12951,3569.8476063897465,3786.8076128556586,487.848725,60,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-14T23:50:08.000Z,2025-10-15T09:00:07.000Z,2: B2,4420,968.2200288552048,2255.0575672059513,98.35867999999999,1,2
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-15T02:48:41.000Z,2025-10-15T21:53:37.000Z,B1층식당가전체: B1-WEST원래지도,2548,818.0100243785979,1283.5275382521004,102.03897000000006,-76,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-15T21:59:35.000Z,2025-10-16T01:47:11.000Z,2층전체청소하기: F2,12948,3599.3501072689896,3790.8676129766563,492.962419,60,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-15T22:02:18.000Z,2025-10-16T02:34:27.000Z,3층전체청소하기: F3,15511,3530.1276052059984,3787.960112890006,515.475179,78,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-15T23:50:09.000Z,2025-10-16T09:00:01.000Z,3: B2,11508,2460.0200733143097,2614.3550779138513,229.23166600000002,49,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-16T01:51:41.000Z,2025-10-16T03:15:23.000Z,B1층식당가전체: B1_WEST,4714,1318.112539282814,1392.6650415046515,174.02635300000003,23,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-16T02:53:28.000Z,2025-10-16T03:19:01.000Z,3번노드: B1_EAST,1445,531.6550158445539,679.3500202462079,62.67727400000001,4,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-16T22:00:09.000Z,2025-10-17T01:54:59.000Z,2층전체청소하기: F2,13409,3597.617607217358,3790.955112979264,487.471477,64,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-16T22:03:06.000Z,2025-10-17T02:36:37.000Z,3층전체청소하기: F3,14747,3459.0101030865317,3790.417612963245,500.678324,75,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-16T23:50:07.000Z,2025-10-17T07:52:04.000Z,4: B2,12408,2461.955073371977,2812.7550838266316,239.518822,54,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-17T02:01:55.000Z,2025-10-17T04:14:53.000Z,B1층식당가전체: B1_WEST,4671,1321.0650393708054,1395.880041600466,168.66046100000005,14,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-17T02:42:12.000Z,2025-10-17T03:23:47.000Z,3번노드: B1_EAST,2450,642.6375191520901,679.7650202585759,86.66229199999998,8,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-17T21:59:16.000Z,2025-10-18T01:45:52.000Z,2층전체청소하기: F2,12930,3607.370107508005,3792.465113024265,491.167789,62,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-17T22:13:32.000Z,2025-10-18T02:38:40.000Z,3층전체청소하기: F3,15241,3541.362605540828,3788.375112902374,505.669833,74,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-17T23:50:08.000Z,2025-10-18T09:00:02.000Z,5: B2,11604,2470.602573629693,3295.1225982023034,265.82985,48,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-18T01:51:23.000Z,2025-10-18T03:10:53.000Z,B1층식당가전체: B1_WEST,4461,1321.4025393808636,1391.8500414803627,171.09343799999994,23,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-18T02:44:31.000Z,2025-10-18T03:23:53.000Z,3번노드: B1_EAST,2306,646.902519279197,680.4150202779473,84.70876200000004,8,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-18T21:59:57.000Z,2025-10-19T01:49:17.000Z,2층전체청소하기: F2,13122,3602.1101073512446,3791.327612990365,493.701815,63,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-18T22:03:38.000Z,2025-10-19T02:43:32.000Z,3층전체청소하기: F3,14396,3487.375103931875,3804.3276133777954,505.70499300000074,75,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-18T23:50:08.000Z,2025-10-19T09:00:04.000Z,1: B2,9648,2034.355060628504,3129.3100932607067,219.274473,2,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-19T02:00:58.000Z,2025-10-19T22:00:35.000Z,B1층식당가전체: B1_WEST,5044,1331.8100396910313,1393.7875415381047,174.80872600000004,-63,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-19T02:48:48.000Z,2025-10-19T03:27:35.000Z,3번노드: B1_EAST,2270,647.4250192947687,679.8075202598425,84.89599899999996,7,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-19T22:05:28.000Z,2025-10-20T01:51:04.000Z,2층전체청소하기: F2,12881,3593.057607081459,3789.617612939403,490.730751,63,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-19T22:07:55.000Z,2025-10-20T03:59:48.000Z,3층전체청소하기: F3,16726,3498.1551042531437,3789.0501129224904,558.1173230000005,84,0
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-19T23:50:07.000Z,2025-10-20T09:00:06.000Z,5: B2,3673,779.7475232382864,3157.4275940986727,81.98673999999994,3,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-20T01:55:55.000Z,2025-10-20T03:18:07.000Z,B1층식당가전체: B1_WEST,4635,1327.5250395633284,1395.9175416015835,172.879392,23,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-20T21:58:35.000Z,2025-10-21T02:16:58.000Z,3층전체청소하기: F3,14744,3490.1276040139055,3785.702612822727,497.418547,72,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-20T22:04:03.000Z,2025-10-20T22:19:04.000Z,2층전체청소하기: F2,77,16.91500050410629,3743.92511157766,2.576866,2,1
